service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,1,0,0,0,0,0,0,20241118,20241118
23,0,0,0,0,0,1,0,20241123,20241207
68,1,1,1,1,1,0,0,20241118,20241129
69,0,0,0,0,0,1,0,20241123,20241130
70,0,0,0,0,1,0,0,20241122,20241129
71,1,1,1,1,1,0,1,20241118,20241201
92,0,1,0,0,0,0,0,20241119,20241119
93,0,0,1,0,0,0,0,20241120,20241120
94,0,0,0,1,0,0,0,20241121,20241121
95,0,0,0,0,1,0,0,20241122,20241122
96,0,0,0,0,0,1,0,20241123,20241123
110,0,0,0,0,0,0,1,20241124,20250525
115,0,0,0,0,0,0,0,20250203,20250505
126,0,0,0,0,1,0,0,20241122,20241206
131,1,0,0,0,0,0,0,20250106,20250630
132,0,1,0,0,0,0,0,20250107,20250624
133,0,0,1,0,0,0,0,20241120,20241218
134,0,0,0,1,0,0,0,20241121,20250102
135,0,0,0,0,1,0,0,20241122,20250103
136,1,0,0,0,0,0,0,20241118,20241230
137,0,1,0,0,0,0,0,20241119,20241231
138,0,0,0,0,0,0,0,20241224,20241224
139,0,0,1,0,0,0,0,20250108,20250625
140,0,0,0,1,0,0,0,20250109,20250626
141,0,0,0,0,1,0,0,20250110,20250627
142,0,0,0,0,0,1,0,20241123,20250104
143,0,0,0,0,0,1,0,20250111,20250628
144,0,0,0,0,0,0,1,20250112,20250629
145,0,0,0,0,0,0,1,20241124,20250105
146,0,0,0,0,0,0,0,20241226,20241226
205,1,1,1,1,1,0,0,20241118,20241122
211,0,0,0,0,0,0,0,20241207,20241207
214,0,0,0,0,0,1,0,20241130,20241130
227,1,1,1,1,1,0,0,20241125,20250221
228,0,0,0,0,0,1,0,20241130,20250222
229,0,0,0,0,0,0,1,20241124,20250216
251,0,0,0,0,0,0,1,20241124,20241124
259,0,0,0,0,0,1,0,20241130,20250524
260,1,0,0,0,0,0,0,20241125,20250519
261,0,1,0,0,0,0,0,20241126,20250520
262,0,0,1,0,0,0,0,20241127,20250521
263,0,0,0,1,0,0,0,20241128,20250522
264,0,0,0,0,1,0,0,20241129,20250523
265,0,0,0,0,0,0,0,20241223,20250414
266,0,0,0,0,0,0,0,20241224,20250422
267,0,0,0,0,0,0,0,20241227,20250425
268,0,0,0,0,0,0,0,20250102,20250424
269,0,0,0,0,0,0,0,20250219,20250423
270,0,0,0,0,0,0,1,20241124,20250518
271,0,0,0,0,0,0,0,20250101,20250101
272,1,0,0,0,0,0,0,20241125,20250526
273,0,1,0,0,0,0,0,20241126,20250527
274,0,0,1,0,0,0,0,20241127,20250528
275,0,0,0,1,0,0,0,20241128,20250529
276,0,0,0,0,1,0,0,20241129,20250530
277,0,0,0,0,0,1,0,20241130,20250531
278,0,0,0,0,0,0,1,20241124,20241201
285,0,0,0,0,0,0,0,20241217,20250415
286,0,0,0,0,0,0,0,20241218,20250416
287,0,0,0,0,1,0,0,20241122,20250418
288,0,0,0,0,0,0,0,20241121,20250417
289,1,0,0,0,0,0,0,20241118,20250303
290,0,1,0,0,0,0,0,20241119,20250304
291,0,0,0,0,0,1,0,20241123,20250419
292,0,0,1,0,0,0,0,20241120,20250305
293,0,0,0,1,0,0,0,20241128,20250306
294,0,0,0,0,1,0,0,20241227,20250307
295,0,0,0,0,0,0,0,20241216,20250414
296,0,0,0,0,0,1,0,20241228,20250308
297,0,0,0,0,0,0,1,20241124,20250420
314,1,1,1,1,1,0,0,20241119,20241206
315,1,1,1,1,1,0,0,20241209,20250912
316,0,0,0,0,0,1,0,20241214,20250913
317,0,0,0,0,0,0,0,20241227,20241227
318,0,0,0,0,0,0,0,20241230,20241231
319,0,0,0,0,0,0,1,20241208,20250914
320,0,0,0,0,0,0,0,20250203,20250203
321,1,1,1,1,1,0,0,20241120,20241206
322,1,1,1,1,1,0,0,20241119,20241206
323,0,0,0,0,0,1,0,20241221,20250913
324,0,0,0,0,0,0,0,20241214,20241214
325,0,0,0,0,0,0,0,20241221,20241221
326,1,1,1,1,1,0,0,20241209,20250912
327,0,0,0,0,0,1,0,20241228,20250913
328,0,0,0,0,0,0,0,20250118,20250118
329,1,1,1,1,1,0,0,20241119,20241206
330,0,0,0,0,0,0,0,20241203,20241203
331,0,0,0,0,0,0,0,20241230,20241230
332,0,0,0,0,0,0,0,20241231,20241231
333,1,1,1,1,1,0,0,20241120,20241206
334,1,1,1,1,1,0,0,20241209,20250912
335,0,0,0,0,0,0,0,20241224,20241227
336,1,1,1,1,1,0,0,20241209,20250912
337,1,1,1,1,1,1,0,20241119,20241207
338,1,1,1,1,1,1,0,20241209,20250913
339,1,1,1,1,1,0,0,20241209,20250912
340,1,1,1,1,1,0,0,20241119,20241207
341,1,1,1,1,1,1,0,20241209,20250913
342,0,0,0,0,0,0,1,20241201,20241201
343,1,1,1,1,1,0,0,20241209,20250912
344,1,1,1,1,1,1,0,20241209,20250913
345,1,1,1,1,0,1,0,20241119,20241207
346,1,1,1,1,0,1,0,20241209,20250913
347,0,0,0,0,1,0,0,20241213,20250912
348,1,1,1,1,1,1,0,20241119,20241207
349,1,1,1,1,1,1,0,20241209,20250913
350,1,1,1,1,0,0,0,20241119,20241205
351,1,1,1,1,0,0,0,20241209,20250911
352,1,1,1,1,1,0,0,20241209,20250912
353,1,1,1,1,1,0,0,20241209,20250912
354,0,1,1,1,1,0,0,20241119,20241206
355,1,1,1,1,1,0,0,20241209,20250912
356,0,0,0,0,0,1,0,20241130,20241207
357,1,1,1,1,0,1,0,20241119,20241207
358,0,0,0,0,1,0,0,20241213,20250912
359,1,1,1,1,1,1,0,20241209,20250913
360,0,0,0,0,0,0,0,20250104,20250104
361,0,0,0,0,0,0,0,20250111,20250111
362,1,1,1,1,1,0,0,20241209,20250912
363,1,1,1,1,0,0,0,20241209,20250911
364,0,0,0,0,0,1,0,20241214,20250913
365,1,1,1,1,1,1,0,20241209,20250913
366,1,1,1,1,1,1,0,20241119,20241207
367,1,1,1,1,1,1,0,20241209,20250913
368,1,0,0,0,0,0,0,20241125,20241125
369,1,1,1,1,1,1,0,20241119,20241206
370,1,1,1,1,1,1,0,20241209,20250913
371,1,1,1,1,1,1,0,20241119,20241207
372,1,1,1,1,1,1,0,20241209,20250913
373,1,0,0,0,0,0,0,20241125,20241202
374,1,0,0,0,0,0,0,20241209,20250908
375,0,1,1,1,1,0,0,20241119,20241206
376,0,1,1,1,1,0,0,20241210,20250912
377,0,0,0,0,1,1,0,20241122,20241207
378,0,0,0,0,1,1,0,20241213,20250913
379,1,1,1,1,1,1,0,20241209,20250913
380,1,1,1,1,0,1,0,20241209,20250913
381,1,1,1,1,0,1,0,20241209,20250913
382,0,1,1,1,1,1,0,20241119,20241207
383,1,1,1,1,1,1,0,20241209,20250913
384,0,0,0,1,1,1,0,20241121,20241207
385,0,1,1,0,0,0,0,20241119,20241120
386,1,1,1,0,0,0,0,20241125,20241127
387,0,0,0,0,0,0,0,20241202,20241204
388,1,1,1,1,1,1,0,20241212,20250913
389,0,0,0,0,0,0,0,20250106,20250108
390,0,0,0,0,0,0,0,20250113,20250115
391,0,0,0,0,0,0,0,20250120,20250122
392,0,0,0,0,0,0,0,20250127,20250129
393,0,0,0,0,0,0,0,20250204,20250205
394,0,0,0,0,0,0,0,20250210,20250212
395,0,0,0,0,0,0,0,20250217,20250219
396,0,0,0,0,0,0,0,20250224,20250226
397,0,0,0,0,0,0,0,20250303,20250305
398,0,0,0,0,0,0,0,20250310,20250312
399,0,0,0,0,0,0,0,20250318,20250319
400,0,0,0,0,0,0,0,20250324,20250326
401,0,0,0,0,0,0,0,20250331,20250402
402,0,0,0,0,0,0,0,20250414,20250416
403,0,0,0,0,0,0,0,20250407,20250409
404,0,0,0,0,0,0,0,20250422,20250423
405,0,0,0,0,0,0,0,20241209,20241211
406,1,0,1,1,1,1,0,20241212,20250913
407,1,0,0,0,0,0,0,20241209,20250908
