route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
3778_48886,7778014,Green,Parnell - Brides Glen,,0,,,
3778_48887,7778014,Red,The Point - Tallaght,,0,,,
4195_72146,7778006,120,Dublin - Edenderry,,3,,,
4195_72147,7778006,125,UCD - Newbridge,,3,,,
4195_72148,7778006,126,Dublin - Rathangan,,3,,,
4195_72149,7778006,130,Dublin - Athy,,3,,,
4195_72150,7778006,120A,Dublin - Edenderry,,3,,,
4195_72151,7778006,120B,Dublin - Newbridge,,3,,,
4195_72152,7778006,120C,Enfield - Tullamore,,3,,,
4195_72153,7778006,120D,Enfield - Tullamore,,3,,,
4195_72154,7778006,120E,Dublin - Edenderry,,3,,,
4195_72155,7778006,120F,Connolly Station - Newbridge Centre,,3,,,
4195_72156,7778006,120X,Dublin - Edenderry,,3,,,
4195_72157,7778006,126A,Dublin - Kildare,,3,,,
4195_72158,7778006,126B,Dublin - Rathangan,,3,,,
4195_72159,7778006,126D,Dublin - Kildare,,3,,,
4195_72160,7778006,126E,Dublin - Kildare,,3,,,
4195_72161,7778006,126T,Dublin - Kildare,,3,,,
4195_72162,7778006,126U,Dublin UCD - Kildare,,3,,,
4195_72163,7778006,126N,Dublin - Newbridge,,3,,,
4195_72164,7778006,126X,Dublin - Rathangan,,3,,,
4195_72165,7778006,130A,Dublin - Athy,,3,,,
4289_75958,7778021,59,Dun Laoghaire - Killiney Hill Park,,3,,,
4289_75959,7778021,63,Kilternan - Dún Laoghaire,,3,,,
4289_75960,7778021,102,Dublin Airport - Sutton DART,,3,,,
4289_75961,7778021,104,Clontarf Station - DCU (The Helix),,3,,,
4289_75962,7778021,111,Brides Glen - Kilbogget Pk,,3,,,
4289_75963,7778021,114,Ticknock - Blackrock,,3,,,
4289_75964,7778021,161,Rockbrook - Dundrum,,3,,,
4289_75965,7778021,184,Newtownmountkennedy - Greystones - Bray,,3,,,
4289_75966,7778021,185,Powerscourt - Bray,,3,,,
4289_75967,7778021,220,DCU (The Helix) - Lady's Well Road,,3,,,
4289_75968,7778021,236,Blanchardstown - IBM Campus,,3,,,
4289_75969,7778021,238,Tyrrelstown - Mulhuddart,,3,,,
4289_75970,7778021,270,Dunboyne - Blanchardstown,,3,,,
4289_75971,7778021,33A,Dublin Airport - Balbriggan,,3,,,
4289_75972,7778021,33B,Swords - Portrane,,3,,,
4289_75973,7778021,33T,Skerries - Donabate,,3,,,
4289_75974,7778021,45A,Kilmacanogue - Dun Laoghaire,,3,,,
4289_75975,7778021,45B,Kilmacanogue - Dun Laoghaire,,3,,,
4289_75976,7778021,N2,Clontarf Station - Heuston Train Stn,,3,,,
4289_75977,7778021,N6,Finglas Village - Naomh Barróg GAA,,3,,,
4289_75978,7778021,S4,Liffey Valley - UCD,,3,,,
4289_75979,7778021,S6,The Square - Blackrock Station,,3,,,
4289_75980,7778021,S8,Kingswood Avenue - Dun Laoghaire Stn,,3,,,
4289_75981,7778021,W2,The Square - Liffey Valley SC,,3,,,
4289_75982,7778021,W4,The Square - Blanchardstown SC,,3,,,
4289_75983,7778021,63A,Kilternan - Dún Laoghaire,,3,,,
4289_75984,7778021,L51,Liffey Valley SC - Adamstown Station,,3,,,
4289_75985,7778021,L52,Blanchardstown SC - Adamstown Station,,3,,,
4289_75986,7778021,L55,Hollyville Lawn - Glenaulin,,3,,,
4289_75987,7778021,102A,Swords - Sutton,,3,,,
4289_75988,7778021,102C,Balgriffin - Sutton,,3,,,
4289_75989,7778021,102P,Swords - Portmarnock,,3,,,
